"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb",
"A list of all tasks for all the projects","A list of all tasks for all the projects","Een lijst van alle taken voor alle projecten","Una lista de todas las tareas de todos los proyectos","所有任务的所有项目名单","Eine Liste aller Aufgaben für alle Projekte","Une liste de toutes les tâches de tous les projets","Un elenco di tutte le attività per tutti i progetti","Uma lista de todas as tarefas de todos os projectos","Μια λίστα με όλες τις εργασίες για όλα τα έργα","Lista wszystkich zadań dla wszystkich projektów","En liste over alle opgaver for alle de projekter","Luettelo kaikista tehtävistä kaikkien hankkeiden","En liste over alle oppgaver for alle prosjektene","قائمة بجميع المهام لجميع المشاريع","모든 프로젝트의 모든 작업 목록","すべてのプロジェクトのすべてのタスクのリスト","רשימה של כל המשימות לכל הפרויקטים","En lista över alla uppgifter för alla projekt","Seznam všech úkolů pro všechny projekty","Список всех задач для всех проектов","Isang listahan ng lahat ng mga gawain para sa lahat ng mga proyekto","Usa ka listahan sa tanan nga mga buluhaton alang sa tanang mga proyekto",
"A list of attachments for a task","A list of attachments for a task","Een lijst met bijlagen voor een taak","Una lista de archivos adjuntos para una tarea","附件的任务列表","Eine Liste der Anlagen für eine Aufgabe","Une liste des pièces jointes pour une tâche","Un elenco di allegati per un compito","Uma lista de anexos para uma tarefa","Ο κατάλογος των συνημμένων για μια εργασία","Lista załączników dla zadania","En liste over vedhæftede filer for en opgave","Luettelo liitteet tehtävään","En liste over vedlegg for en oppgave","قائمة المرفقات لمهمة","작업에 대한 첨부 파일의 목록","タスクの添付ファイルのリスト","רשימה של קבצים מצורפים למשימה","En förteckning över bilagor för en uppgift","Seznam příloh k úkolu","Список вложений для задачи","Ang isang listahan ng mga attachment para sa isang gawain","Usa ka listahan sa mga sumpay,  mga dugtong sa usa ka buluhaton",
"A list of subtasks for a task","A list of subtasks for a task","Een lijst van subtaken voor een taak","Una lista de subtareas de una tarea","子任务的任务列表","Eine Liste der Unteraufgaben für eine Aufgabe","Une liste de sous-tâches pour une tâche","Un elenco di attività secondarie per un compito","Uma lista de sub-tarefas para uma tarefa","Μια λίστα με δευτερεύουσες εργασίες για ένα έργο","Lista podzadań dla zadania","En liste over delopgaver for en opgave","Luettelo alitehtäviä tehtävään","En liste over deloppgaver for en oppgave","قائمة المهام الفرعية للمهمة","작업에 대한 하위 목록","タスクのサブタスクの一覧","רשימה של תת פעילויות למשימה","En förteckning över deluppgifter för en uppgift","Seznam dílčí úkoly pro úkol","Список подзадач для задачи","Ang isang listahan ng mga subtask para sa isang gawain","Usa ka listahan sa mga subtasks alang sa usa ka buluhaton",
"A list of tasks for the project","A list of tasks for the project","Een lijst van taken voor het project","Una lista de tareas para el proyecto","任务的项目名单","Eine Liste der Aufgaben für das Projekt","Une liste des tâches pour le projet","Un elenco di attività per il progetto","Uma lista de tarefas para o projeto","Ο κατάλογος των καθηκόντων για το έργο","Lista zadań do projektu","En liste over opgaver for projektet","Luettelo tehtävistä hankkeen","En liste over oppgaver for prosjektet","قائمة المهام للمشروع","프로젝트에 대한 작업 목록","プロジェクトのタスクのリスト","רשימת המשימות לפרויקט","En lista med uppgifter för projektet","Seznam úkolů projektu","Список задач для проекта","Ang isang listahan ng mga gawain para sa proyekto","Usa ka listahan sa mga buluhaton alang sa proyekto",
"Filter that list all the items of all the orders combined.","Filter that list all the items of all the orders combined.","Filter deze lijst alle items van alle orders samen.","Filtra esa lista todos los elementos de todas las órdenes combinadas.","过滤列表中的所有订单的总和的所有项目。","Filter,  der Liste alle Elemente aller Aufträge in Verbindung.","Filtrez la liste de tous les articles de tous les ordres combinés.","Filtro che lista tutti gli elementi di tutti gli ordini uniti.","Filtro que lista todos os itens de todos os pedidos combinados.","Φίλτρο που λίστα όλα τα στοιχεία όλων των παραγγελιών σε συνδυασμό.","Filtr tej liście wszystkie elementy wszystkich zamówień łączonych.","Filter denne liste alle de elementer af alle ordrer tilsammen.","Suodata että luettelo kaikista kohteita kaikista tilauksista yhteensä.","Filtrere denne listen alle elementer av alle ordrene kombinert.","تصفية تلك القائمة لجميع المواد لجميع أوامر مجتمعة.","그 목록을 결합하여 모든 주문의 모든 항목을 필터링합니다.","そのリストに結合されたすべての注文のすべての項目をフィルタリングします。","לסנן את הרשימה שכל הפריטים של כל ההזמנות בשילוב.","Filtrera listan alla objekt i alla order tillsammans.","Filtr tomto seznamu všechny položky všech objednávek dohromady.","Фильтры этого списка все элементы всех заказов вместе взятых.","Salain ang listahan na ang lahat ng mga item sa lahat ng mga order pinagsama.","Filter nga listahan sa tanan nga mga butang sa tanan nga mga sugo hiniusa.",
"FlowActions available for a project","FlowActions available for a project","FlowActions beschikbaar voor een project","FlowActions disponibles para un proyecto","可用于项目FlowActions","FlowActions für ein Projekt zur Verfügung","FlowActions disponibles pour un projet","FlowActions disponibili per un progetto","FlowActions disponíveis para um projeto","FlowActions για ένα σχέδιο","FlowActions dostępne dla projektu","FlowActions til rådighed for et projekt","FlowActions saatavilla hankkeen","FlowActions tilgjengelige for et prosjekt","FlowActions المتاحة للمشروع","프로젝트에 사용할 수 FlowActions","プロジェクトのために利用可能FlowActions","FlowActions זמין לפרויקט","FlowActions tillgängliga för ett projekt","FlowActions k dispozici pro projekt","FlowActions доступные для проекта","FlowActions magagamit para sa isang proyekto","FlowActions nga magamit alang sa usa ka proyekto",
"FlowActions available for a website","FlowActions available for a website","FlowActions beschikbaar voor een website","FlowActions disponibles para un sitio web","可用于网站FlowActions","FlowActions für eine Website zur Verfügung","FlowActions disponibles pour un site Web","FlowActions disponibili per un sito web","FlowActions disponíveis para um site","FlowActions διαθέσιμα για μια ιστοσελίδα","FlowActions dostępne na stronie internetowej","FlowActions rådighed for et websted","FlowActions saatavilla verkkosivuilla","FlowActions tilgjengelige for et nettsted","FlowActions متاحة للموقع على شبكة الانترنت","웹 사이트에 사용할 수 FlowActions","ウェブサイトで利用可能なFlowActions","FlowActions זמין עבור אתר אינטרנט","FlowActions tillgängliga för en webbplats","FlowActions k dispozici pro webové stránky","FlowActions доступные для веб-сайта","FlowActions magagamit para sa isang website","FlowActions nga magamit alang sa usa ka website",
"Gets a list of flow action permissions for a customer","Gets a list of flow action permissions for a customer","Krijgt een lijst van stroom actie permissies voor een klant","Obtiene una lista de permisos de acción de flujo para un cliente","获取的流动作用的权限列表供客户","Ruft eine Liste der Strömungswirkung Berechtigungen für einen Kunden","Obtient une liste des autorisations d'action de flux pour un client","Ottiene un elenco di autorizzazioni di azione di flusso per un cliente","Obtém uma lista de permissões de ação de fluxo para um cliente","Παίρνει μια λίστα με δικαιώματα δράσης ροής για έναν πελάτη","Pobiera listę uprawnień działania przepływu dla klienta","Får en liste over tilladelser flow handling for en kunde","Saa luettelon virtauksen toiminta käyttöoikeuksien asiakas","Får en liste over flyt handlings tillatelser for en kunde","يحصل على قائمة من أذونات العمل تدفق للزبون","고객에 대한 흐름 조치 권한의 목록을 가져옵니다","顧客のフローアクション権限の一覧を取得します。","מקבל רשימה של הרשאות זרימת פעולה ללקוח","Hämtar en lista över åtgärder flödes behörigheter för en kund","Získává seznam akčních průtoku oprávnění pro zákazníka","Получает список разрешений действий потока для клиента","Makakakuha ng isang listahan ng mga pahintulot ng pagkilos daloy para sa isang customer","Gets sa usa ka listahan sa mga dagan aksyon Permissions alang sa usa ka customer",
"Gets a list of flow action permissions for a customer group","Gets a list of flow action permissions for a customer group","Krijgt een lijst van stroom actie Rechten voor een klantengroep","Obtiene una lista de permisos de acción de flujo para un grupo de clientes","获取的流动作用的权限列表的客户群体","Ruft eine Liste der Strömungswirkung Berechtigungen für eine Kundengruppe","Obtient une liste des autorisations d'action de flux pour un groupe de clients","Ottiene un elenco di autorizzazioni di azione di flusso per un gruppo di clienti","Obtém uma lista de permissões de ação de fluxo para um grupo de clientes","Παίρνει μια λίστα με δικαιώματα δράσης ροής για μια ομάδα πελατών","Pobiera listę uprawnień działania przepływu dla grupy klientów","Får en liste over tilladelser flow handling for en kundegruppe","Saa luettelon virtauksen toiminta oikeuksia asiakasryhmälle","Får en liste over flyt handlings tillatelser for en kundegruppe","يحصل على قائمة من أذونات العمل تدفق لمجموعة العملاء","고객 그룹에 대한 흐름 조치 권한의 목록을 가져옵니다","顧客グループの流動作用権限の一覧を取得します。","מקבל רשימה של הרשאות זרימת פעולה לקבוצת לקוחות","Hämtar en lista över åtgärder flödes behörigheter för en kundgrupp","Získává seznam akčních průtoku oprávnění pro skupinu zákazníků","Получает список разрешений действий потока для группы клиентов","Makakakuha ng isang listahan ng mga pahintulot ng pagkilos daloy para sa isang grupo ng customer","Gets sa usa ka listahan sa mga dagan aksyon Permissions alang sa usa ka customer sa grupo",
"Gets a list of flow action permissions for a user","Gets a list of flow action permissions for a user","Krijgt een lijst van stroom actie machtigingen voor een gebruiker","Obtiene una lista de permisos de acción de flujo para un usuario","得到的流动作用权限的列表用于用户","Ruft eine Liste der Strömungswirkung Berechtigungen für einen Benutzer","Obtient une liste des autorisations d'action de flux pour un utilisateur","Ottiene un elenco di autorizzazioni di azione di flusso per un utente","Obtém uma lista de permissões de ação de fluxo para um usuário","Παίρνει μια λίστα με δικαιώματα δράσης ροής για ένα χρήστη","Pobiera listę uprawnień działania przepływu dla użytkownika","Får en liste over tilladelser flow handling for en bruger","Saa luettelon virtauksen toiminta käyttöoikeuksien käyttäjä","Får en liste over flyt handlings tillatelser for en bruker","يحصل على قائمة من أذونات العمل تدفق للمستخدم","사용자에 대한 흐름 조치 권한의 목록을 가져옵니다","ユーザのフローアクション権限の一覧を取得します。","מקבל רשימה של הרשאות זרימת פעולה למשתמש","Hämtar en lista över åtgärder flödes behörigheter för en användare","Získává seznam akčních průtoku oprávnění pro uživatele","Получает список разрешений действий потока для пользователя","Makakakuha ng isang listahan ng mga pahintulot ng pagkilos daloy para sa isang user","Gets sa usa ka listahan sa mga dagan aksyon Permissions alang sa usa ka user",
"ets a list of flow action permissions for a user group","Gets a list of flow action permissions for a user group","Krijgt een lijst van stroom actie Rechten voor een gebruikersgroep","Obtiene una lista de permisos de acción de flujo para un grupo de usuarios","获取的流动作用的权限列表的用户组","Ruft eine Liste der Strömungswirkung Berechtigungen für eine Benutzergruppe","Obtient une liste des autorisations d'action d'écoulement pour un groupe d'utilisateurs","Ottiene un elenco di autorizzazioni di azione di flusso per un gruppo di utenti","Obtém uma lista de permissões de ação de fluxo para um grupo de usuários","Παίρνει μια λίστα με δικαιώματα δράσης ροής για μια ομάδα χρηστών","Pobiera listę uprawnień działania przepływu dla grupy użytkowników","Får en liste over tilladelser flow handling for en brugergruppe","Saa luettelon virtauksen toiminta oikeuksia käyttäjäryhmälle","Får en liste over flyt handlings tillatelser for en brukergruppe","يحصل على قائمة من أذونات العمل تدفق لمجموعة المستخدم","사용자 그룹에 대한 흐름 조치 권한의 목록을 가져옵니다","ユーザグループの流動作用権限の一覧を取得します。","מקבל רשימה של הרשאות זרימת פעולה לקבוצת משתמשים","Hämtar en lista över åtgärder flödes behörigheter för en användargrupp","Získává seznam akčních průtoku oprávnění pro skupinu uživatelů","Получает список разрешений действий потока для группы пользователей","Makakakuha ng isang listahan ng mga pahintulot ng pagkilos daloy para sa grupo ng isang user","Gets sa usa ka listahan sa mga dagan aksyon Permissions alang sa usa ka user nga grupo",
"Gets all the files on disk for a certain folder.","Gets all the files on disk for a certain folder.","Krijgt alle bestanden op de schijf voor een bepaalde map.","Obtiene todos los archivos en el disco de una carpeta determinada.","获取特定的文件夹在磁盘上的所有文件。","Ruft alle Dateien auf der Festplatte für einen bestimmten Ordner.","Obtient tous les fichiers sur le disque pour un certain dossier.","Ottiene tutti i file sul disco per una determinata cartella.","Obtém todos os arquivos no disco para uma determinada pasta.","Παίρνει όλα τα αρχεία στο δίσκο για ένα συγκεκριμένο φάκελο.","Pobiera wszystkie pliki na dysku dla określonego folderu.","Får alle filer på disken i en vis mappe.","Saa kaikki tiedostot levylle tiettyyn kansioon.","Blir alle filene på disken for en bestemt mappe.","يحصل على كل الملفات على القرص لمجلد معين.","특정 폴더의 디스크에있는 모든 파일을 가져옵니다.","特定のフォルダのディスク上のすべてのファイルを取得します。","מקבל לתיקייה מסוימת את כל הקבצים בדיסק.","Får alla filer på disken för en viss mapp.","Vrátí všechny soubory na disku pro určitou složku.","Получает все файлы на диске для определенной папке.","Makakakuha ng lahat ng mga file sa disk para sa isang tiyak na folder.","Nakakuha sa tanan nga mga file sa disk sa usa ka pipila ka mga folder.",
"Gets all the sub folders of a folder.","Gets all the sub folders of a folder.","Krijgt alle submappen van een map.","Obtiene todas las subcarpetas de una carpeta.","获取一个文件夹的所有子文件夹。","Ruft alle Unterordner eines Ordners.","Obtient tous les sous-dossiers d'un dossier.","Ottiene tutte le sottocartelle di una cartella.","Obtém todas as subpastas de uma pasta.","Παίρνει όλα τα υποφακέλους ενός φακέλου.","Pobiera wszystkie podfoldery folderu.","Får alle de undermapper i en mappe.","Saa kaikki osa kansiot kansion.","Får alle undermapper i en mappe.","يحصل كل المجلدات الفرعية للمجلد.","폴더의 모든 하위 폴더를 가져옵니다.","フォルダのすべてのサブフォルダを取得します。","מקבל את כל תיקיות המשנה של תיקייה.","Får alla undermappar i en mapp.","Vrátí všechny dílčí složky ze složky.","Получает все вложенные папки в папке.","Makakakuha ng lahat ng mga sub folder ng isang folder.","Nakakuha ang tanan nga mga sub folder sa usa ka folder.",
"Gets the list of status permissions for a customer","Gets the list of status permissions for a customer","Krijgt de lijst van de status van rechten voor een klant","Obtiene la lista de permisos de estado para un cliente","获取身份的权限列表中为客户","Ruft die Liste der Status-Berechtigungen für einen Kunden","Obtient la liste des autorisations d'état pour un client","Ottiene l'elenco dei permessi di stato per un cliente","Obtém a lista de permissões de status para um cliente","Παίρνει τον κατάλογο των δικαιωμάτων κατάσταση για έναν πελάτη","Pobiera listę uprawnień statusu dla klienta","Får en liste over de tilladelser status for en kunde","Saa Tila- käyttöoikeuksien asiakas","Får en liste over status tillatelser for en kunde","يحصل على قائمة الأذونات الحالة لأحد العملاء","고객에 대한 상태 권한의 목록을 가져옵니다","顧客のステータス権限の一覧を取得します。","מקבל הרשימה של הרשאות מעמד ללקוח","Hämtar listan över status behörigheter för en kund","Získává seznam stavových oprávnění pro zákazníka","Получает список разрешений статуса для клиента","Nakakakuha ng listahan ng mga pahintulot ng katayuan para sa isang customer","Nakakuha sa listahan sa mga status Permissions alang sa usa ka customer",
